"word","count"
"noun_1",2
"noun_10",1
"noun_100",21
"noun_1000",1
"noun_1002",6
"noun_1004",1
"noun_1005",3
"noun_1006",45
"noun_1007",9
"noun_1008",1
"noun_1009",1
"noun_101",2
"noun_1010",1
"noun_1011",3
"noun_1012",1
"noun_1013",3
"noun_1014",1
"noun_1015",1
"noun_1016",1
"noun_1017",1
"noun_1018",1
"noun_1019",17
"noun_102",1
"noun_1020",2
"noun_1021",4
"noun_1022",6
"noun_1023",1
"noun_1024",3
"noun_1025",5
"noun_1026",32
"noun_1028",1
"noun_1029",1
"noun_103",2
"noun_1030",3
"noun_1031",11
"noun_1032",5
"noun_1033",2
"noun_1034",11
"noun_1035",2
"noun_1036",215
"noun_1037",6
"noun_1038",2
"noun_1039",7
"noun_104",1
"noun_1040",46
"noun_1041",1
"noun_1042",1
"noun_1043",2
"noun_1044",1
"noun_1045",3
"noun_1047",1
"noun_1048",15
"noun_1049",10
"noun_105",1
"noun_1050",11
"noun_1051",3
"noun_1052",38
"noun_1053",1
"noun_1054",4
"noun_1055",8
"noun_1057",176
"noun_1058",7
"noun_1059",4
"noun_106",13
"noun_1060",2
"noun_1061",1
"noun_1062",1
"noun_1063",1
"noun_1064",2
"noun_1065",4
"noun_1066",6
"noun_1067",3
"noun_1068",723
"noun_1069",7
"noun_107",1
"noun_1070",1
"noun_1071",1
"noun_1072",1
"noun_1073",14
"noun_1074",10
"noun_1075",177
"noun_1076",1
"noun_1077",15
"noun_1078",1
"noun_1079",5
"noun_108",4
"noun_1080",1
"noun_1081",1
"noun_1082",5
"noun_1083",1
"noun_1084",1
"noun_1085",26
"noun_1086",14
"noun_1087",3
"noun_1088",1
"noun_1089",5
"noun_1090",1
"noun_1091",3
"noun_1092",2
"noun_1093",378
"noun_1094",1
"noun_1095",1
"noun_1096",1
"noun_1097",148
"noun_1098",3
"noun_1099",3
"noun_11",5
"noun_110",3
"noun_1100",257
"noun_1101",3
"noun_1102",1
"noun_1103",3
"noun_1105",24
"noun_1106",6
"noun_1107",15
"noun_1108",2
"noun_1109",1
"noun_111",28
"noun_1110",6
"noun_1111",1
"noun_1112",36
"noun_1113",13
"noun_1114",1
"noun_1115",142
"noun_1116",43
"noun_1117",198
"noun_1118",1
"noun_1119",2
"noun_1120",3
"noun_1121",2
"noun_1122",1
"noun_1123",86
"noun_1125",1
"noun_1126",1
"noun_1127",1
"noun_1128",1
"noun_1129",1
"noun_113",8
"noun_1130",1
"noun_1131",1
"noun_1132",1
"noun_1133",66
"noun_1134",1
"noun_1135",78
"noun_1136",2
"noun_1138",1
"noun_1139",2
"noun_114",1
"noun_1140",23
"noun_1141",2
"noun_1142",39
"noun_1143",27
"noun_1144",33
"noun_1145",1
"noun_1147",1
"noun_1148",234
"noun_115",2
"noun_1150",1
"noun_1152",1
"noun_1154",5
"noun_1155",6
"noun_1156",3
"noun_1157",3
"noun_1159",3
"noun_116",30
"noun_1160",1
"noun_1161",1
"noun_1162",1
"noun_1163",1
"noun_1164",2
"noun_1165",2
"noun_1166",2
"noun_1168",6
"noun_1169",2
"noun_117",25
"noun_1170",1
"noun_1171",5
"noun_1172",2
"noun_1173",42
"noun_1174",1
"noun_1175",2
"noun_1176",4
"noun_1177",3
"noun_1178",2
"noun_1179",2
"noun_118",8
"noun_1181",1
"noun_1183",1
"noun_1184",2
"noun_1185",15
"noun_1186",6
"noun_1187",2
"noun_1188",7
"noun_1189",1
"noun_119",66
"noun_1190",6
"noun_1191",2
"noun_1192",1
"noun_1193",2
"noun_1195",4
"noun_1196",5
"noun_1197",1
"noun_1198",1
"noun_1199",1
"noun_12",1
"noun_120",1
"noun_1200",1
"noun_1201",4
"noun_1202",1
"noun_1203",1
"noun_1204",6
"noun_1205",1
"noun_1206",2
"noun_1207",1
"noun_1208",2
"noun_1209",1
"noun_121",4
"noun_1210",1
"noun_1211",2
"noun_1212",6
"noun_1213",659
"noun_1214",1
"noun_1215",1
"noun_1216",1
"noun_1217",899
"noun_1218",3
"noun_1219",1
"noun_122",7
"noun_1220",15
"noun_1221",3
"noun_1222",1
"noun_1223",6
"noun_1225",1
"noun_1226",1
"noun_1227",11
"noun_1228",1
"noun_1229",52
"noun_123",53
"noun_1230",11
"noun_1231",13
"noun_1233",1
"noun_1234",11
"noun_1235",1
"noun_1236",9
"noun_1237",63
"noun_1238",1
"noun_1239",1
"noun_124",1
"noun_1240",1
"noun_1241",13
"noun_1242",1
"noun_1243",2
"noun_1244",1
"noun_1245",1
"noun_1246",37
"noun_1247",1
"noun_1248",1
"noun_1249",1
"noun_125",1
"noun_1251",1
"noun_1252",36
"noun_1254",1
"noun_1255",6
"noun_1256",1
"noun_1257",5
"noun_1258",1
"noun_1259",11
"noun_126",2
"noun_1260",46
"noun_1261",1
"noun_1262",4
"noun_1263",1
"noun_1264",2
"noun_1265",20
"noun_1266",1
"noun_1267",2
"noun_1268",1
"noun_1269",53
"noun_127",1
"noun_1270",38
"noun_1272",11
"noun_1273",26
"noun_1274",1
"noun_1275",1
"noun_1276",2
"noun_1277",9
"noun_1279",2
"noun_128",1
"noun_1280",3
"noun_1281",2
"noun_1282",5
"noun_1283",37
"noun_1284",9
"noun_1285",959
"noun_1286",2
"noun_1287",2
"noun_1288",2
"noun_1289",1
"noun_129",29
"noun_1290",1
"noun_1291",2
"noun_1292",5
"noun_1293",86
"noun_1294",1
"noun_1295",2
"noun_1296",4
"noun_1297",19
"noun_1299",2
"noun_13",11
"noun_130",2
"noun_1300",1
"noun_1301",48
"noun_1302",1
"noun_1303",5
"noun_1304",8
"noun_1305",1
"noun_1306",3
"noun_1307",2
"noun_1308",2
"noun_1309",1
"noun_131",2
"noun_1310",16
"noun_1311",5
"noun_1312",2
"noun_1314",1
"noun_1315",9
"noun_1316",6
"noun_1317",1
"noun_1318",62
"noun_1319",1
"noun_132",4
"noun_1320",15
"noun_1321",9
"noun_1322",5
"noun_1323",2
"noun_1324",6
"noun_1325",4
"noun_1326",1
"noun_1327",1
"noun_1328",1
"noun_1329",1
"noun_133",1
"noun_1330",73
"noun_1331",2
"noun_1332",2
"noun_1333",3
"noun_1334",46
