"word","count"
"noun_1",2
"noun_10",1
"noun_100",16
"noun_1000",1
"noun_1001",1
"noun_1002",6
"noun_1003",1
"noun_1004",1
"noun_1005",3
"noun_1006",42
"noun_1011",1
"noun_1012",1
"noun_1014",1
"noun_1015",2
"noun_1016",1
"noun_1017",1
"noun_1019",16
"noun_102",1
"noun_1020",2
"noun_1022",5
"noun_1023",1
"noun_1024",3
"noun_1026",22
"noun_1027",1
"noun_1029",1
"noun_1030",3
"noun_1031",12
"noun_1032",5
"noun_1033",2
"noun_1034",13
"noun_1035",2
"noun_1036",214
"noun_1037",7
"noun_1038",2
"noun_1039",7
"noun_104",1
"noun_1040",47
"noun_1041",1
"noun_1042",1
"noun_1044",1
"noun_1045",3
"noun_1046",1
"noun_1047",1
"noun_1048",11
"noun_1049",10
"noun_105",1
"noun_1050",4
"noun_1051",3
"noun_1052",40
"noun_1055",8
"noun_1056",1
"noun_1057",221
"noun_1058",8
"noun_1059",5
"noun_1060",2
"noun_1061",3
"noun_1062",1
"noun_1063",1
"noun_1064",2
"noun_1065",4
"noun_1066",6
"noun_1067",4
"noun_1068",725
"noun_1069",7
"noun_107",1
"noun_1070",1
"noun_1071",1
"noun_1072",1
"noun_1073",2
"noun_1074",10
"noun_1075",169
"noun_1076",1
"noun_1077",17
"noun_1079",2
"noun_108",4
"noun_1082",2
"noun_1083",1
"noun_1084",1
"noun_1085",13
"noun_1086",14
"noun_1088",1
"noun_1089",11
"noun_1090",1
"noun_1091",3
"noun_1092",2
"noun_1093",330
"noun_1094",1
"noun_1096",1
"noun_1097",187
"noun_1098",3
"noun_1099",3
"noun_11",6
"noun_110",3
"noun_1100",241
"noun_1101",15
"noun_1102",1
"noun_1103",3
"noun_1104",2
"noun_1105",15
"noun_1106",4
"noun_1107",13
"noun_1109",1
"noun_111",22
"noun_1110",7
"noun_1112",53
"noun_1114",1
"noun_1117",242
"noun_1119",2
"noun_112",1
"noun_1120",2
"noun_1121",2
"noun_1122",1
"noun_1123",82
"noun_1124",1
"noun_1125",1
"noun_1126",1
"noun_1127",1
"noun_113",8
"noun_1131",1
"noun_1132",1
"noun_1133",63
"noun_1135",75
"noun_1138",1
"noun_1139",2
"noun_114",1
"noun_1141",2
"noun_1142",32
"noun_1143",27
"noun_1145",1
"noun_1146",22
"noun_1148",219
"noun_1149",1
"noun_1150",2
"noun_1151",1
"noun_1153",1
"noun_1154",5
"noun_1155",6
"noun_1158",1
"noun_1159",3
"noun_116",29
"noun_1161",1
"noun_1165",2
"noun_1166",1
"noun_1167",1
"noun_1169",5
"noun_1170",1
"noun_1171",1
"noun_1172",2
"noun_1173",39
"noun_1174",1
"noun_1175",2
"noun_1176",4
"noun_1177",3
"noun_1178",2
"noun_1179",2
"noun_118",7
"noun_1180",8
"noun_1182",2
"noun_1183",1
"noun_1184",2
"noun_1185",14
"noun_1186",6
"noun_1187",2
"noun_1189",1
"noun_119",13
"noun_1190",5
"noun_1191",6
"noun_1192",1
"noun_1193",2
"noun_1194",3
"noun_1195",3
"noun_1196",5
"noun_1197",1
"noun_1198",1
"noun_1199",1
"noun_12",1
"noun_120",1
"noun_1200",1
"noun_1202",1
"noun_1203",1
"noun_1204",5
"noun_1207",1
"noun_1208",1
"noun_1209",2
"noun_121",4
"noun_1210",1
"noun_1211",2
"noun_1213",615
"noun_1214",1
"noun_1215",1
"noun_1216",1
"noun_1217",770
"noun_1218",3
"noun_1219",1
"noun_122",9
"noun_1220",10
"noun_1221",3
"noun_1222",1
"noun_1223",6
"noun_1224",1
"noun_1226",1
"noun_1227",11
"noun_1228",1
"noun_1229",51
"noun_123",52
"noun_1231",10
"noun_1232",1
"noun_1233",1
"noun_1235",1
"noun_1236",25
"noun_1237",52
"noun_1239",2
"noun_124",2
"noun_1240",1
"noun_1242",1
"noun_1243",8
"noun_1245",1
"noun_1246",35
"noun_1247",1
"noun_1248",1
"noun_125",1
"noun_1251",12
"noun_1252",21
"noun_1253",1
"noun_1254",1
"noun_1255",6
"noun_1256",1
"noun_1258",1
"noun_1259",3
"noun_1260",47
"noun_1261",1
"noun_1262",1
"noun_1264",3
"noun_1265",19
"noun_1267",2
"noun_1268",1
"noun_1269",52
"noun_127",1
"noun_1270",34
"noun_1271",1
"noun_1273",25
"noun_1275",1
"noun_1276",2
"noun_1277",9
"noun_1278",1
"noun_1279",2
"noun_128",1
"noun_1280",3
"noun_1281",2
"noun_1282",9
"noun_1283",28
"noun_1284",9
"noun_1285",1059
"noun_1286",2
"noun_1287",3
"noun_1288",2
"noun_129",36
"noun_1291",2
"noun_1292",2
"noun_1293",85
"noun_1295",2
"noun_1296",4
"noun_1297",19
"noun_1298",1
"noun_1299",1
"noun_130",1
"noun_1301",42
"noun_1302",1
"noun_1303",1
"noun_1304",10
"noun_1305",1
"noun_1306",10
"noun_1307",2
"noun_1308",2
"noun_131",2
"noun_1311",5
"noun_1313",1
"noun_1315",5
"noun_1316",4
"noun_1317",2
"noun_1318",71
"noun_1319",1
"noun_132",4
"noun_1322",6
"noun_1325",4
"noun_1326",1
"noun_1327",4
"noun_1330",59
"noun_1332",2
"noun_1333",2
"noun_1334",45
"noun_1335",8
"noun_1336",2
"noun_1338",16
"noun_134",447
"noun_1340",10
"noun_1341",38
"noun_1342",2
"noun_1344",5
"noun_1345",14
"noun_1346",4
"noun_135",4
"noun_1350",9
"noun_1353",1
"noun_1354",2
"noun_1355",44
"noun_1356",14
"noun_1357",17
"noun_1358",4
"noun_1359",2
"noun_1360",1
"noun_1362",2
"noun_1364",2
"noun_1365",27
"noun_1366",3
"noun_1367",6
"noun_1370",3
"noun_1371",3
"noun_1372",16
"noun_1374",2
"noun_1375",1
"noun_1377",1
"noun_1378",3
"noun_138",1
"noun_1381",2
"noun_1382",3
"noun_1383",1
"noun_1384",9
"noun_1385",5
"noun_1386",1
"noun_1388",2
"noun_139",115
"noun_1390",3
"noun_1391",1
"noun_1392",82
"noun_1393",14
"noun_1394",11
"noun_1395",1
"noun_1397",1
"noun_1398",39
"noun_1399",128
"noun_14",1
"noun_1400",2
"noun_1402",1
"noun_1403",2
"noun_1404",202
"noun_1405",12
